SubjectUID,DesignCell,P,T_ms,W_ms,Matching,Identity,ACC,n_trials,omission_rate
group5_1,P8_T100_W1100,8,100.0,1100.0,Matching,Self,0.8384615384615385,130,0.07692307692307693
group5_10,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,0.7538461538461538,130,0.023076923076923078
group5_10,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,0.8846153846153846,130,0.015384615384615385
group5_10,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,0.7461538461538462,130,0.046153846153846156
group5_10,P8_T100_W1100,8,100.0,1100.0,Matching,Self,0.823076923076923,130,0.046153846153846156
group5_11,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,0.5923076923076923,130,0.2
group5_11,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,0.5384615384615384,130,0.16923076923076924
group5_11,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,0.3384615384615385,130,0.15384615384615385
group5_11,P8_T100_W1100,8,100.0,1100.0,Matching,Self,0.6153846153846154,130,0.16923076923076924
group5_12,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,0.5538461538461539,130,0.23076923076923078
group5_12,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,0.7615384615384615,130,0.23076923076923078
group5_12,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,0.5461538461538461,130,0.2923076923076923
group5_12,P8_T100_W1100,8,100.0,1100.0,Matching,Self,0.6307692307692307,130,0.23846153846153847
group5_2,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,0.5076923076923077,130,0.12307692307692308
group5_2,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,0.5230769230769231,130,0.16153846153846155
group5_2,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,0.43846153846153846,130,0.23076923076923078
group5_2,P8_T100_W1100,8,100.0,1100.0,Matching,Self,0.46923076923076923,130,0.17692307692307693
group5_3,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,0.6846153846153846,130,0.13846153846153847
group5_3,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,0.6307692307692307,130,0.15384615384615385
group5_3,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,0.7461538461538462,130,0.07692307692307693
group5_3,P8_T100_W1100,8,100.0,1100.0,Matching,Self,0.9538461538461539,130,0.023076923076923078
group5_4,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,0.47692307692307695,130,0.23846153846153847
group5_4,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,0.7307692307692307,130,0.14615384615384616
group5_4,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,0.6230769230769231,130,0.2230769230769231
group5_4,P8_T100_W1100,8,100.0,1100.0,Matching,Self,0.6384615384615384,130,0.16153846153846155
group5_5,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,0.7,130,0.038461538461538464
group5_5,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,0.7076923076923077,130,0.046153846153846156
group5_5,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,0.7230769230769231,130,0.06923076923076923
group5_5,P8_T100_W1100,8,100.0,1100.0,Matching,Self,0.8615384615384616,130,0.015384615384615385
group5_6,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,0.8153846153846154,130,0.0
group5_6,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,0.8692307692307693,130,0.015384615384615385
group5_6,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,0.676923076923077,130,0.038461538461538464
group5_6,P8_T100_W1100,8,100.0,1100.0,Matching,Self,0.7153846153846154,130,0.023076923076923078
group5_7,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,0.8846153846153846,130,0.03076923076923077
group5_7,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,0.9461538461538461,130,0.007692307692307693
group5_7,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,0.823076923076923,130,0.046153846153846156
group5_7,P8_T100_W1100,8,100.0,1100.0,Matching,Self,0.9846153846153847,130,0.007692307692307693
group5_8,P8_T100_W1100,8,100.0,1100.0,NonMatching,Stranger,0.5384615384615384,130,0.1
group5_8,P8_T100_W1100,8,100.0,1100.0,NonMatching,Self,0.8923076923076924,130,0.06923076923076923
group5_8,P8_T100_W1100,8,100.0,1100.0,Matching,Stranger,0.5692307692307692,130,0.06153846153846154
group5_8,P8_T100_W1100,8,100.0,1100.0,Matching,Self,0.6615384615384615,130,0.06923076923076923
group6_1,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.9,130,0.023076923076923078
group6_1,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.8538461538461538,130,0.03076923076923077
group6_1,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.9384615384615385,130,0.023076923076923078
group6_1,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.9461538461538461,130,0.046153846153846156
group6_10,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.8076923076923077,130,0.07692307692307693
group6_10,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.8538461538461538,130,0.12307692307692308
group6_10,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.8923076923076924,130,0.023076923076923078
group6_10,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.8923076923076924,130,0.046153846153846156
group6_12,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.8692307692307693,130,0.0
group6_12,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.9538461538461539,130,0.015384615384615385
group6_12,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.9384615384615385,130,0.023076923076923078
group6_12,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.9615384615384616,130,0.007692307692307693
group6_13,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.9846153846153847,130,0.0
group6_13,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.9692307692307692,130,0.0
group6_13,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.9692307692307692,130,0.03076923076923077
group6_13,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.9769230769230769,130,0.023076923076923078
group6_15,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.8769230769230769,130,0.07692307692307693
group6_15,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.9230769230769231,130,0.038461538461538464
group6_15,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.7769230769230769,130,0.007692307692307693
group6_15,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.8307692307692308,130,0.12307692307692308
group6_16,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.8076923076923077,130,0.13076923076923078
group6_16,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.6923076923076923,130,0.26153846153846155
group6_16,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.7846153846153846,130,0.14615384615384616
group6_16,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.7384615384615385,130,0.16923076923076924
group6_3,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.9615384615384616,130,0.007692307692307693
group6_3,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.9538461538461539,130,0.015384615384615385
group6_3,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.9307692307692308,130,0.038461538461538464
group6_3,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.9384615384615385,130,0.05384615384615385
group6_4,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.8538461538461538,130,0.046153846153846156
group6_4,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.9615384615384616,130,0.023076923076923078
group6_4,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.9384615384615385,130,0.03076923076923077
group6_4,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.9538461538461539,130,0.023076923076923078
group6_5,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.9615384615384616,130,0.023076923076923078
group6_5,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.8076923076923077,130,0.05384615384615385
group6_5,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.6846153846153846,130,0.13076923076923078
group6_5,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.7923076923076923,130,0.12307692307692308
group6_9,P120_T500_W1500,120,500.0,1500.0,NonMatching,Stranger,0.9538461538461539,130,0.007692307692307693
group6_9,P120_T500_W1500,120,500.0,1500.0,NonMatching,Self,0.9307692307692308,130,0.023076923076923078
group6_9,P120_T500_W1500,120,500.0,1500.0,Matching,Stranger,0.9384615384615385,130,0.023076923076923078
group6_9,P120_T500_W1500,120,500.0,1500.0,Matching,Self,0.9230769230769231,130,0.03076923076923077
group7_1,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.6153846153846154,130,0.23076923076923078
group7_1,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.5923076923076923,130,0.2692307692307692
group7_1,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.6923076923076923,130,0.2153846153846154
group7_1,P120_T30_W800,120,30.0,800.0,Matching,Self,0.8307692307692308,130,0.1076923076923077
group7_10,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.7692307692307693,130,0.023076923076923078
group7_10,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.8615384615384616,130,0.007692307692307693
group7_10,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.7076923076923077,130,0.038461538461538464
group7_10,P120_T30_W800,120,30.0,800.0,Matching,Self,0.6076923076923076,130,0.023076923076923078
group7_11,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.17692307692307693,130,0.46923076923076923
group7_11,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.18461538461538463,130,0.5461538461538461
group7_11,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.2846153846153846,130,0.5769230769230769
group7_11,P120_T30_W800,120,30.0,800.0,Matching,Self,0.6153846153846154,130,0.33076923076923076
group7_12,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.7384615384615385,130,0.007692307692307693
group7_12,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.8,130,0.038461538461538464
group7_12,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.7615384615384615,130,0.03076923076923077
group7_12,P120_T30_W800,120,30.0,800.0,Matching,Self,0.7230769230769231,130,0.015384615384615385
group7_2,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.5076923076923077,130,0.07692307692307693
group7_2,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.7461538461538462,130,0.06153846153846154
group7_2,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.7846153846153846,130,0.08461538461538462
group7_2,P120_T30_W800,120,30.0,800.0,Matching,Self,0.7846153846153846,130,0.08461538461538462
group7_3,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.47692307692307695,130,0.26153846153846155
group7_3,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.5307692307692308,130,0.16923076923076924
group7_3,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.5461538461538461,130,0.2692307692307692
group7_3,P120_T30_W800,120,30.0,800.0,Matching,Self,0.8384615384615385,130,0.12307692307692308
group7_4,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.6846153846153846,130,0.2
group7_4,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.8769230769230769,130,0.07692307692307693
group7_4,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.7538461538461538,130,0.16923076923076924
group7_4,P120_T30_W800,120,30.0,800.0,Matching,Self,0.6923076923076923,130,0.16153846153846155
group7_5,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.7769230769230769,130,0.06923076923076923
group7_5,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.7461538461538462,130,0.06153846153846154
group7_5,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.8538461538461538,130,0.023076923076923078
group7_5,P120_T30_W800,120,30.0,800.0,Matching,Self,0.9384615384615385,130,0.007692307692307693
group7_6,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.5230769230769231,130,0.35384615384615387
group7_6,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.8307692307692308,130,0.16153846153846155
group7_6,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.5846153846153846,130,0.3230769230769231
group7_6,P120_T30_W800,120,30.0,800.0,Matching,Self,0.6076923076923076,130,0.3076923076923077
group7_7,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.7769230769230769,130,0.11538461538461539
group7_7,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.8538461538461538,130,0.1076923076923077
group7_7,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.8615384615384616,130,0.06153846153846154
group7_7,P120_T30_W800,120,30.0,800.0,Matching,Self,0.9230769230769231,130,0.015384615384615385
group7_8,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.4230769230769231,130,0.11538461538461539
group7_8,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.3923076923076923,130,0.16153846153846155
group7_8,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.46153846153846156,130,0.13846153846153847
group7_8,P120_T30_W800,120,30.0,800.0,Matching,Self,0.4076923076923077,130,0.12307692307692308
group7_9,P120_T30_W800,120,30.0,800.0,NonMatching,Stranger,0.3076923076923077,130,0.14615384615384616
group7_9,P120_T30_W800,120,30.0,800.0,NonMatching,Self,0.34615384615384615,130,0.13846153846153847
group7_9,P120_T30_W800,120,30.0,800.0,Matching,Stranger,0.43846153846153846,130,0.13076923076923078
group7_9,P120_T30_W800,120,30.0,800.0,Matching,Self,0.7,130,0.06923076923076923
group8_1,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,0.6153846153846154,130,0.23076923076923078
group8_1,P120_T80_W800,120,80.0,800.0,NonMatching,Self,0.5923076923076923,130,0.2692307692307692
group8_1,P120_T80_W800,120,80.0,800.0,Matching,Stranger,0.6923076923076923,130,0.2153846153846154
group8_1,P120_T80_W800,120,80.0,800.0,Matching,Self,0.8307692307692308,130,0.1076923076923077
group8_10,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,0.7692307692307693,130,0.023076923076923078
group8_10,P120_T80_W800,120,80.0,800.0,NonMatching,Self,0.8615384615384616,130,0.007692307692307693
group8_10,P120_T80_W800,120,80.0,800.0,Matching,Stranger,0.7076923076923077,130,0.038461538461538464
group8_10,P120_T80_W800,120,80.0,800.0,Matching,Self,0.6076923076923076,130,0.023076923076923078
group8_11,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,0.17692307692307693,130,0.46923076923076923
group8_11,P120_T80_W800,120,80.0,800.0,NonMatching,Self,0.18461538461538463,130,0.5461538461538461
group8_11,P120_T80_W800,120,80.0,800.0,Matching,Stranger,0.2846153846153846,130,0.5769230769230769
group8_11,P120_T80_W800,120,80.0,800.0,Matching,Self,0.6153846153846154,130,0.33076923076923076
group8_12,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,0.7384615384615385,130,0.007692307692307693
group8_12,P120_T80_W800,120,80.0,800.0,NonMatching,Self,0.8,130,0.038461538461538464
group8_12,P120_T80_W800,120,80.0,800.0,Matching,Stranger,0.7615384615384615,130,0.03076923076923077
group8_12,P120_T80_W800,120,80.0,800.0,Matching,Self,0.7230769230769231,130,0.015384615384615385
group8_2,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,0.5076923076923077,130,0.07692307692307693
group8_2,P120_T80_W800,120,80.0,800.0,NonMatching,Self,0.7461538461538462,130,0.06153846153846154
group8_2,P120_T80_W800,120,80.0,800.0,Matching,Stranger,0.7846153846153846,130,0.08461538461538462
group8_2,P120_T80_W800,120,80.0,800.0,Matching,Self,0.7846153846153846,130,0.08461538461538462
group8_3,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,0.47692307692307695,130,0.26153846153846155
group8_3,P120_T80_W800,120,80.0,800.0,NonMatching,Self,0.5307692307692308,130,0.16923076923076924
group8_3,P120_T80_W800,120,80.0,800.0,Matching,Stranger,0.5461538461538461,130,0.2692307692307692
group8_3,P120_T80_W800,120,80.0,800.0,Matching,Self,0.8384615384615385,130,0.12307692307692308
group8_4,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,0.6846153846153846,130,0.2
group8_4,P120_T80_W800,120,80.0,800.0,NonMatching,Self,0.8769230769230769,130,0.07692307692307693
group8_4,P120_T80_W800,120,80.0,800.0,Matching,Stranger,0.7538461538461538,130,0.16923076923076924
group8_4,P120_T80_W800,120,80.0,800.0,Matching,Self,0.6923076923076923,130,0.16153846153846155
group8_5,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,0.7769230769230769,130,0.06923076923076923
group8_5,P120_T80_W800,120,80.0,800.0,NonMatching,Self,0.7461538461538462,130,0.06153846153846154
group8_5,P120_T80_W800,120,80.0,800.0,Matching,Stranger,0.8538461538461538,130,0.023076923076923078
group8_5,P120_T80_W800,120,80.0,800.0,Matching,Self,0.9384615384615385,130,0.007692307692307693
group8_6,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,0.5230769230769231,130,0.35384615384615387
group8_6,P120_T80_W800,120,80.0,800.0,NonMatching,Self,0.8307692307692308,130,0.16153846153846155
group8_6,P120_T80_W800,120,80.0,800.0,Matching,Stranger,0.5846153846153846,130,0.3230769230769231
group8_6,P120_T80_W800,120,80.0,800.0,Matching,Self,0.6076923076923076,130,0.3076923076923077
group8_7,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,0.7769230769230769,130,0.11538461538461539
group8_7,P120_T80_W800,120,80.0,800.0,NonMatching,Self,0.8538461538461538,130,0.1076923076923077
group8_7,P120_T80_W800,120,80.0,800.0,Matching,Stranger,0.8615384615384616,130,0.06153846153846154
group8_7,P120_T80_W800,120,80.0,800.0,Matching,Self,0.9230769230769231,130,0.015384615384615385
group8_8,P120_T80_W800,120,80.0,800.0,NonMatching,Stranger,0.4230769230769231,130,0.11538461538461539
group8_8,P120_T80_W800,120,80.0,800.0,NonMatching,Self,0.3923076923076923,130,0.16153846153846155
group8_8,P120_T80_W800,120,80.0,800.0,Matching,Stranger,0.46153846153846156,130,0.13846153846153847
group8_8,P120_T80_W800,120,80.0,800.0,Matching,Self,0.4076923076923077,130,0.12307692307692308
